CUST_BOOK_DEL,4821549
WIP_ISSUE_DETAIL,3892402
INVENTORY_TRANS,3543401
INV_TRANS_DIST,2521696
WIP_LABOR_DETAIL,2362951
SHIPMENT_DETAIL,1833706
LABOR_TICKET,1483212
WIP_RECEIPT_DETAIL,1475689
INDIRECT_DIST,1395569
SHIPMENT_DIST,1167628
CUST_BOOK_LINE,1126872
CUST_LINE_DEL,793753
WIP_RECEIPT_DIST,778404
WIP_ISSUE_DIST,758289
INVENTORY_BALANCE,739661
INDIRECT_DETAIL,697784
DBR_EVENT_DETECT,501469
PURC_MATL_DETAIL,401742
FIN_DIST_DETAIL,381324
RECEIVABLE_DIST,349384
PAYABLE_DIST,313440
PAYABLE_LINE,304699
PAYB_LINE_CURR,304698
RECEIVABLE_LINE,294982
SHIPPER_LINE,284631
SHIPPER_LINE_DEL,266259
OPERATION,257341
OPERATION_BINARY,249210
PART_LOCATION,239297
RECEIVER_LINE,237358
REQUIREMENT,228158
CUST_ORDER_LINE,190021
PURCHASE_DIST,187392
PURC_ORDER_LINE,184729
PURC_LINE_BINARY,179251
CASH_RECEIPT_LINE,174909
RECEIVABLE,174495
RECEIVABLE_CURR,174495
SHIPPER,169726
SHIPPER_INVOICE,169726
JOURNAL,169261
RECEIVER,147866
PAYABLE_CURR,133395
PAYABLE,133395
CASH_DISBURSE_LINE,131453
WIP_SERVICE_DETAIL,122578
CASH_DISBURSE_DIST,115357
CUSTOMER_BOOKINGS,112597
DEMAND_SUPPLY_LINK,110794
WORK_ORDER,107740
E_BACKLOG_DET,97344
INV_RECEIPT_DIST,95036
PURC_SERV_DETAIL,91865
CUSTOMER_ORDER,89111
CUST_ORDER_CURR,89103
CUST_ORDER_ALLOC,85501
REQUIREMENT_BINARY,84840
PHYS_COUNT_LOC,79921
E_OPENOPS_DET,78590
E_RECEIVABLE_DET,76636
QUOTE_PRICE,70214
PRORATED_LABOR_TX,69726
PURC_ORDER_CURR,66895
PURCHASE_ORDER,66895
E_PAYABLE_DET,59827
QUOTE_LINE,59009
CASH_DISBURSEMENT,58323
CASH_DISBURSE_CURR,57598
ADJUSTMENT_DIST,57262
QUOTE_LINE_BINARY,56256
WIP_BALANCE,55411
BOL_LINE,53593
BOL,53592
SERVICE_RCVR_DISP,53244
SOA_DOC_SYNC,49274
WORKORDER_BINARY,48698
SERVICE_RECEIPT,48519
CASH_RECEIPT_DIST,48122
GJ_LINE,46008
GJ_DIST,43819
E_PURCOPEN_DET,37263
JOURNAL_BATCH,36448
ACCOUNT_BALANCE,35342
PLANNED_MATL_REQ,34918
PLANNED_ORDER,32845
E_PURCBACK_DET,31668
SERVICE_DISP_LINE,31034
SERVICE_DISPATCHED,31034
SERVICE_DISPATCH,28752
