Part Number / Line 1,Quantity / Line 2,PO Number,Employee,Date,Location
Kohler Crates,Quantity: 130,Customer Supplied,6229,2/23/2026,Outside Door 5
40 x 48 Bags,4 Mil Lay Flat,067985,6229,2/20/2026,RECV
DRAW LUBE 47,Quantity: 55 Gallons,068028,6229,2/20/2026,RECV
Lennox Jarkies,Quantity: 20,Customer Supplied,6229,2/20/2026,Outside Service
Insikerator Baskets (Small),Quantity: 7,Customer Supplied,6229,2/13/2026,U-04
Insikerator Baskets (Normal),Quantity: 32,Customer Supplied,6229,2/13/2026,U-04
32 x 30 Skids,Quantity: 150,067893,6229,2/12/2026,Outside Door 13
Thermal Labels,Quantity: 48 Rolls,067874,6229,2/12/2026,T Racking
John Deere AKK543 Racks,Quantity: 4,Customer Supplied,6229,2/10/2026,V-F
John Deere AKK46582 Racks,Quantity: 2,Customer Supplied,6229,2/10/2026,V-F
Insinkerator Baskets (Small),Quantity: 7,Customer Supplied,6229,2/9/2026,V-F
Insinkerator Baskets (Normal),Quantity: 32,Customer Supplied,6229,2/9/2026,V-F
John Deere AKK543 Rack,Quantity: 1,Customer Supplied,6229,2/9/2026,Outside Door 5
WIRE MIG ER70S-6 .035 500LB,Take to Robot 1,067841,6229,2/9/2026,Robot 1
TUFF DRAW 2806,Quantity: 55 Gallons (550#),067670,6229,2/6/2026,Door 5
Dubois Anti Rust,Quantity: 55 Gallons,067815,6229,2/6/2026,Waterjet
Lennox Jarkies,Quantity: 17,Customer Supplied,6229,2/6/2026,Outside Service / R-04
John Deere AKK543 Racks,Quantity: 3,Customer Supplied,6229,2/6/2026,Door 5
John Deere AKK46582 Racks,Quantity: 1,Customer Supplied,6229,2/6/2026,Door 5
Koher Crates,Quantity: Full Trailer,Customer Supplied,6229,2/4/2026,Outside Door 5
Koher Crates,Quantity: Full Trailer,Customer Supplied,6229,2/4/2026,RECV
Insinkerator Baskets,Quantity: 43,Customer Supplied,6229,2/4/2026,U-04
John Deere AKK543 Racks,Quantity: 7,Customer Supplied,6229,2/4/2026,Door 5
John Deere AKK419925 Racks,Quantity: 2,Customer Supplied,6229,2/4/2026,Door 5
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
80 West Jet Garnet,"Weight: 2,200",067814,6229,2/4/2026,RECV
Lennox Jarkies,Quantity: 20,Customer Supplied,6229,1/30/2026,V-B
Kohler Crates - For Expo,Quantity: 86,Customer Supplied,6229,1/30/2026,Outside Door 5
Kohler Crates - For Vits Drive,Quantity: 46,Customer Supplied,6229,1/30/2026,TRL-02
Bad Kohler Crates,Quantity: 7,Customer Supplied,6229,1/30/2026,In front of U-A0-00
John Deere AKK46582 Rack,Quantity: 1,Customer Supplied,6229,1/30/2026,Outside Door 5
"Lennox Jarkies
Cardboard Removed",Quantity: 20,Customer Supplied,6229,1/28/2026,U-B
John Deere AKK543 Racks,Quantity: 4,Customer Supplied,6229,1/28/2026,U-B
John Deere AKK46582 Racks,Quantity: 20,Customer Supplied,6229,1/28/2026,U-C
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
Gen Walls,Quantity: 40,067134,6229,1/26/2026,RECV
